City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Rocha,UY,2021-05-31 20:47:30,-34.4833,-54.3333,56.41,68,45,11.43,scattered clouds
207,Chuy,UY,2021-05-31 20:56:36,-33.6971,-53.4616,57.25,65,7,10.94,clear sky
208,Batagay-Alyta,RU,2021-05-31 20:56:37,67.8006,130.4114,44.6,79,100,3.02,overcast clouds
209,Kattivakkam,IN,2021-05-31 20:56:38,13.2167,80.3167,78.89,72,83,10.22,broken clouds
210,Bolgatanga,GH,2021-05-31 20:54:14,10.7856,-0.8514,92.23,39,63,1.72,light rain
211,Brae,GB,2021-05-31 20:48:08,60.3964,-1.353,46.31,88,20,11.36,few clouds
212,Inirida,CO,2021-05-31 20:53:59,3.8653,-67.9239,81.48,88,93,2.37,overcast clouds
213,Algiers,DZ,2021-05-31 20:52:13,36.7525,3.042,69.62,78,75,6.85,broken clouds
214,Saskylakh,RU,2021-05-31 20:48:13,71.9167,114.0833,45.81,87,100,10.78,overcast clouds
215,Pozarevac,RS,2021-05-31 20:56:39,44.6153,21.1825,53.06,94,95,4.14,overcast clouds
216,Malpe,IN,2021-05-31 20:56:40,13.35,74.7167,78.1,88,54,6.64,broken clouds
217,Nouakchott,MR,2021-05-31 20:56:40,18.0858,-15.9785,71.53,82,96,11.45,overcast clouds
218,Hobart,AU,2021-05-31 20:54:17,-42.8794,147.3294,50.92,69,0,5.99,light rain
219,Obigarm,TJ,2021-05-31 20:56:41,38.7173,69.7088,59.4,54,2,7.4,clear sky
220,Berdyaush,RU,2021-05-31 20:56:42,55.1619,59.1464,49.08,87,100,4.76,overcast clouds
221,Jumla,NP,2021-05-31 20:56:42,29.2747,82.1838,53.31,91,4,4.52,clear sky
222,Robertsport,LR,2021-05-31 20:56:43,6.7533,-11.3686,77.9,83,100,5.55,light rain
223,Sur,OM,2021-05-31 20:56:43,22.5667,59.5289,93.81,34,18,15.26,few clouds
224,Glasgow,GB,2021-05-31 20:53:37,55.8652,-4.2576,64.02,45,6,4.32,clear sky
225,Gejiu,CN,2021-05-31 20:56:44,23.306,103.1635,57.33,94,77,2.19,broken clouds
226,Airai,TL,2021-05-31 20:48:16,-8.9266,125.4092,57.27,93,100,1.9,overcast clouds
227,San Patricio,US,2021-05-31 20:56:45,28.017,-97.5169,88.52,59,98,15.46,overcast clouds
228,Bud,US,2021-05-31 20:56:46,39.447,-86.1758,75.24,46,53,6.11,broken clouds
229,Egvekinot,RU,2021-05-31 20:48:15,66.3167,-179.1667,38.84,48,100,3.76,overcast clouds
230,The Valley,AI,2021-05-31 20:56:47,18.217,-63.0578,84.81,70,40,16.11,scattered clouds
231,Ponot,PH,2021-05-31 20:56:48,8.452,123.0222,76.66,87,100,4.68,moderate rain
232,Rovaniemi,FI,2021-05-31 20:56:48,66.5,25.7167,53.01,58,0,5.75,clear sky
233,Whitehorse,CA,2021-05-31 20:56:48,60.7161,-135.0538,52.11,87,90,15.01,overcast clouds
234,Ekimchan,RU,2021-05-31 20:56:49,53.0667,132.9667,50.25,83,9,1.32,clear sky
235,Nacala,MZ,2021-05-31 20:56:49,-14.5428,40.6728,72.64,85,1,6.15,clear sky
236,Quatre Cocos,MU,2021-05-31 20:56:50,-20.2078,57.7625,71.71,73,4,9.13,clear sky
237,Upata,VE,2021-05-31 20:56:50,8.0086,-62.3989,74.19,87,63,5.68,broken clouds
238,Jaisalmer,IN,2021-05-31 20:56:50,26.9147,70.9181,84.54,67,0,24.05,clear sky
239,Bubaque,GW,2021-05-31 20:56:51,11.2833,-15.8333,78.28,80,100,9.82,overcast clouds
240,Opelousas,US,2021-05-31 20:56:51,30.5335,-92.0815,87.87,53,94,6.55,overcast clouds
241,Ornes,NO,2021-05-31 20:56:52,66.8689,13.7078,54.3,90,99,4.07,overcast clouds
