City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Guia De Isora,ES,2021-05-31 13:14:07,28.2115,-16.7795,72.32,58,0,7.0
192,Sao Jose Da Coroa Grande,BR,2021-05-31 13:14:07,-8.8978,-35.1478,80.69,75,22,7.0
193,Souillac,MU,2021-05-31 13:14:08,-20.5167,57.5167,78.37,70,0,9.51
194,Vao,NC,2021-05-31 13:14:08,-22.6667,167.4833,69.57,58,100,16.78
195,Mamallapuram,IN,2021-05-31 13:14:08,12.6264,80.1722,89.06,68,85,14.34
196,Mitsamiouli,KM,2021-05-31 13:14:09,-11.3847,43.2844,80.6,69,39,6.53
197,Jimenez,MX,2021-05-31 13:14:09,28.3333,-105.4,69.24,62,9,0.98
198,Baruun-Urt,MN,2021-05-31 13:14:10,46.6806,113.2792,45.81,53,90,10.92
199,Norman Wells,CA,2021-05-31 13:14:10,65.282,-126.8329,46.44,81,75,3.44
200,Waingapu,ID,2021-05-31 13:14:10,-9.6567,120.2641,77.16,84,100,4.63
201,Saint-Alexandre,FR,2021-05-31 13:14:11,44.2278,4.6214,81.27,43,15,7.11
202,Mlimba,TZ,2021-05-31 13:14:11,-8.8,35.8167,81.48,55,16,4.16
203,Vestmannaeyjar,IS,2021-05-31 13:14:12,63.4427,-20.2734,47.39,81,40,23.02
204,Port Blair,IN,2021-05-31 13:14:12,11.6667,92.75,83.64,76,0,6.67
205,Piacabucu,BR,2021-05-31 13:14:13,-10.4056,-36.4344,79.34,80,47,6.08
206,Hervey Bay,AU,2021-05-31 13:14:13,-25.2986,152.8535,61.03,86,83,1.01
207,Ulladulla,AU,2021-05-31 13:14:14,-35.35,150.4667,45.88,78,0,5.03
208,Aguilas,ES,2021-05-31 13:14:14,37.4063,-1.5829,82.2,56,100,2.66
209,Baykit,RU,2021-05-31 13:14:15,61.67,96.37,56.95,54,97,3.94
210,Rocha,UY,2021-05-31 13:14:15,-34.4833,-54.3333,54.59,55,17,19.26
211,Hobyo,SO,2021-05-31 13:14:16,5.3505,48.5268,81.68,73,92,26.15
212,Saint Albans,GB,2021-05-31 13:14:16,51.75,-0.3333,75.7,50,75,11.48
213,Embonas,GR,2021-05-31 13:14:16,36.2269,27.8564,70.83,63,0,12.82
214,Tyukhtet,RU,2021-05-31 13:14:17,56.5389,89.3011,58.95,58,11,5.23
215,Kruisfontein,ZA,2021-05-31 13:14:17,-34.0033,24.7314,63.88,68,100,17.05
216,Hamilton,US,2021-05-31 13:14:17,39.1834,-84.5333,59.2,89,100,1.01
217,Buala,SB,2021-05-31 13:14:18,-8.145,159.5921,79.43,86,72,7.05
218,Baherden,TM,2021-05-31 13:14:18,38.4362,57.4316,99.7,18,0,18.28
219,Praia Da Vitoria,PT,2021-05-31 13:14:19,38.7333,-27.0667,70.05,88,75,7.23
220,Morag,PL,2021-05-31 13:11:02,53.9171,19.926,64.65,56,65,7.76
221,Colesberg,ZA,2021-05-31 13:14:19,-30.72,25.0972,55.53,27,100,9.64
222,Kavieng,PG,2021-05-31 13:14:20,-2.5744,150.7967,77.9,92,100,9.42
223,Tripoli,LY,2021-05-31 13:10:09,32.8752,13.1875,78.1,51,84,11.81
224,West Wendover,US,2021-05-31 13:14:20,40.7391,-114.0733,63.28,27,12,5.91
225,Svetlaya,RU,2021-05-31 13:14:20,46.5389,138.3297,43.54,86,13,6.24
226,Zheleznodorozhnyy,RU,2021-05-31 13:14:21,55.7503,38.0042,54.36,46,100,8.95
227,Andrychow,PL,2021-05-31 13:14:21,49.855,19.3383,62.1,63,96,10.13
228,Kapit,MY,2021-05-31 13:14:22,2.0167,112.9333,75.45,97,100,0.6
229,Plainfield,US,2021-05-31 13:12:03,40.6168,-74.4173,57.09,87,90,6.91
230,Tromso,NO,2021-05-31 13:14:22,69.6496,18.957,56.05,76,75,10.36
231,Luang Prabang,LA,2021-05-31 13:14:23,19.8856,102.1347,82.81,71,83,2.64
232,Ulaanbaatar,MN,2021-05-31 13:14:23,47.9077,106.8832,42.93,45,20,6.6
233,Halmstad,SE,2021-05-31 13:14:23,56.6745,12.8568,70.14,68,0,12.66
234,Williamsburg,US,2021-05-31 13:10:35,37.2707,-76.7075,62.74,79,1,6.91
235,Asfi,MA,2021-05-31 13:09:30,32.2994,-9.2372,67.17,73,14,13.06
236,Kochki,RU,2021-05-31 13:14:24,54.3358,80.4806,74.89,55,100,7.43
237,Charlottesville,US,2021-05-31 13:11:30,38.0293,-78.4767,64.49,78,99,5.01
238,Fort Nelson,CA,2021-05-31 13:14:25,58.8053,-122.7002,51.6,65,21,2.33
239,Cayenne,GF,2021-05-31 13:14:25,4.9333,-52.3333,82.44,78,75,5.3
240,Spasskoye,RU,2021-05-31 13:14:26,44.6108,132.7969,51.67,86,3,6.71
241,Mogadishu,SO,2021-05-31 13:14:26,2.0371,45.3438,81.01,76,100,13.98
242,Brasilia,BR,2021-05-31 13:10:11,-15.7797,-47.9297,76.62,57,0,6.91
243,Mount Isa,AU,2021-05-31 13:14:27,-20.7333,139.5,60.57,51,6,0.0
244,Mahanoro,MG,2021-05-31 13:14:27,-19.9,48.8,78.22,76,0,7.94
245,Sorland,NO,2021-05-31 13:14:27,67.667,12.6934,50.07,81,90,10.36
246,Ca Mau,VN,2021-05-31 13:12:55,9.1769,105.15,82.15,82,38,4.65
247,Albanel,CA,2021-05-31 13:14:28,48.8832,-72.4487,55.35,70,69,7.16
248,Flin Flon,CA,2021-05-31 13:14:28,54.7682,-101.865,58.84,36,90,7.2
249,Vardo,NO,2021-05-31 13:14:29,70.3705,31.1107,44.8,75,75,16.11
250,Cape Town,ZA,2021-05-31 13:13:43,-33.9258,18.4232,65.1,64,78,4.0
251,Cap Malheureux,MU,2021-05-31 13:14:29,-19.9842,57.6142,78.48,69,0,3.0
252,Poltavka,RU,2021-05-31 13:14:30,54.3663,71.7632,67.96,71,100,25.23
253,Puerto Ayacucho,VE,2021-05-31 13:14:30,5.6639,-67.6236,77.65,86,95,1.57
254,High Level,CA,2021-05-31 13:14:30,58.5169,-117.136,51.17,70,20,1.43
255,Upernavik,GL,2021-05-31 13:14:31,72.7868,-56.1549,31.44,89,100,3.47
256,Hecun,CN,2021-05-31 13:14:31,36.5333,114.1111,73.42,61,100,6.06
257,Fremont,US,2021-05-31 13:11:29,37.5483,-121.9886,61.14,81,5,1.01
258,Yerbogachen,RU,2021-05-31 13:14:32,61.2767,108.0108,58.77,56,26,5.06
259,Torbay,CA,2021-05-31 13:14:32,47.6666,-52.7314,58.28,57,23,6.13
260,Kolomak,UA,2021-05-31 13:14:33,49.8399,35.3044,57.61,71,100,8.25
261,Kropotkin,RU,2021-05-31 13:14:33,45.4375,40.5756,72.79,70,100,7.18
262,Durusu,TR,2021-05-31 13:14:34,41.3053,28.6767,68.18,88,70,15.01
263,Lompoc,US,2021-05-31 13:11:42,34.6391,-120.4579,56.37,100,90,2.04
264,Rorvik,NO,2021-05-31 13:14:35,64.8621,11.2373,58.98,71,75,9.22
265,Kurchum,KZ,2021-05-31 13:14:35,48.5722,83.6542,77.83,26,6,9.1
266,Pangai,TO,2021-05-31 13:14:36,-19.8,-174.35,78.22,77,98,7.11
267,Kutum,SD,2021-05-31 13:14:36,14.2,24.6667,97.63,14,14,10.54
268,Luba,GQ,2021-05-31 13:14:36,3.4568,8.5547,81.97,80,100,2.55
269,La Palma,US,2021-05-31 13:14:37,33.8464,-118.0467,64.96,83,90,1.99
270,Marawi,PH,2021-05-31 13:14:37,7.9986,124.2928,72.64,87,100,2.91
271,Puri,IN,2021-05-31 13:14:38,19.8,85.85,91.38,88,12,14.5
272,San Jose,US,2021-05-31 13:11:04,37.3394,-121.895,60.64,83,3,4.0
273,Port Augusta,AU,2021-05-31 13:14:38,-32.5,137.7667,59.14,34,100,5.03
274,Bengkulu,ID,2021-05-31 13:14:39,-3.8004,102.2655,79.34,85,100,2.46
275,Altamont,US,2021-05-31 13:14:39,42.2068,-121.7372,50.09,62,28,3.58
276,Coquimbo,CL,2021-05-31 13:14:40,-29.9533,-71.3436,51.53,100,1,4.52
277,Nantucket,US,2021-05-31 13:14:40,41.2835,-70.0995,58.14,98,100,12.82
278,Gold Coast,AU,2021-05-31 13:14:41,-28.0,153.4333,59.0,81,0,1.01
279,Ixtapa,MX,2021-05-31 13:14:41,20.7,-105.2,73.22,77,93,2.59
280,Pitimbu,BR,2021-05-31 13:14:41,-7.4706,-34.8086,79.39,74,24,11.12
281,Zhigansk,RU,2021-05-31 13:14:42,66.7697,123.3711,57.38,41,73,2.84
282,Uribia,CO,2021-05-31 13:14:42,11.7139,-72.266,83.91,64,100,19.17
283,Lasa,IT,2021-05-31 13:14:42,46.6166,10.7002,69.71,52,28,4.07
284,Oskarshamn,SE,2021-05-31 13:14:43,57.2645,16.4484,75.97,45,100,3.47
285,Kayerkan,RU,2021-05-31 13:14:43,69.3497,87.7602,33.06,87,100,11.43
286,Henties Bay,NA,2021-05-31 13:14:44,-22.116,14.2845,62.85,67,2,12.39
287,Scarborough,GB,2021-05-31 13:13:04,54.2797,-0.4044,64.9,73,0,8.01
288,Naze,JP,2021-05-31 13:14:44,28.3667,129.4833,72.68,74,86,17.36
289,Hasaki,JP,2021-05-31 13:14:44,35.7333,140.8333,64.8,69,72,8.52
290,Jinxiang,CN,2021-05-31 13:14:45,27.4327,120.6062,71.24,86,100,4.59
291,Turinsk,RU,2021-05-31 13:14:45,58.0458,63.696,47.48,62,99,12.21
292,Port-Gentil,GA,2021-05-31 13:14:46,-0.7193,8.7815,79.99,80,78,16.42
293,Deputatskiy,RU,2021-05-31 13:14:46,69.3,139.9,55.65,46,89,5.68
